中国大陆,#genre#
云南卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=013&Provider_id=&Pcontent_id=index.m3u8
西藏卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=018&Provider_id=&Pcontent_id=index.m3u8
内蒙古卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
青海卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
宁夏卫视,http://118.123.60.6:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=017&Provider_id=&Pcontent_id=index.m3u8
康巴卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=017&Provider_id=&Pcontent_id=index.m3u8
新疆卫视,http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=058&Provider_id=&Pcontent_id=index.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
农林卫视,http://39.135.15.70:6610/PLTV/88888888/224/3221225696/1/index.m3u8?fmt=ts2hls
安多卫视,http://111.40.205.76/PLTV/88888888/224/3221225659/index.m3u8
CETV-1 高清,http://CDN-in.iqy.sc96655.com/tslive/c213_scc_20190618_hckfiiqn_original_r10/c213_scc_20190618_hckfiiqn_original_r10.m3u8&
CETV-2,http://47.240.60.73/migu.php?id=649531734
CETV-3,http://47.240.60.73/migu.php?id=649531756
CETV-4,http://47.240.60.73/migu.php?id=649531725
CETV 早期教育,http://cdn-in.iqy.sc96655.com/tslive/c211_scc_20190618_4xjwi0v3_original_r10/c211_scc_20190618_4xjwi0v3_original_r10.m3u8&
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国交通,http://tv.lanjingfm.com/cctbn/beijing.m3u8
CHC高清电影,rtmp://58.200.131.2:1935/livetv/chchd
CHC家庭电影,rtmp://58.200.131.2:1935/livetv/chctv
CHC动作电影,rtmp://58.200.131.2:1935/livetv/chcatv
北京冬奥纪实,http://39.135.15.70:6610/PLTV/88888888/224/3221226075/1/index.m3u8?fmt=ts2hls
CCTV-4K 超高清,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
BesTV 4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
纯享 4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
爱上4K,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8
峨眉4K超高清电影 测试,http://60.255.149.209/tslive/c214_scc_20191122_m4avmczq_original_r10/c214_scc_20191122_m4avmczq_original_r10.m3u8&
广东综艺4K,http://27.36.62.162:9090/live/GDZYHD4K_38000.m3u8
DOX4K,http://27.36.62.162:9090/live/dox4k_16000.m3u8
中央人民广播电台中国之声,http://ngcdn001.cnr.cn/live/zgzs48/index.m3u8
中央人民广播电台经济之声,http://ngcdn001.cnr.cn/live/jjzs48/index.m3u8
中央人民广播电台音乐之声,http://ngcdn003.cnr.cn/live/yyzs48/index.m3u8
中央人民广播电台经典音乐广播,http://ngcdn004.cnr.cn/live/dszs48/index.m3u8
中央人民广播电台中华之声,http://ngcdn005.cnr.cn/live/zhzs48/index.m3u8
中央人民广播电台神州之声,http://ngcdn006.cnr.cn/live/szzs48/index.m3u8
中央人民广播电台大湾区之声,http://ngcdn007.cnr.cn/live/hxzs48/index.m3u8
中央人民广播电台香港之声,http://ngcdn008.cnr.cn/live/xgzs48/index.m3u8
中央人民广播电台民族之声,http://ngcdn009.cnr.cn/live/mzzs48/index.m3u8
中央人民广播电台文艺之声,http://ngcdn010.cnr.cn/live/wyzs48/index.m3u8
中央人民广播电台老年之声,http://ngcdn011.cnr.cn/live/lnzs48/index.m3u8
中央人民广播电台乡村之声,http://ngcdn017.cnr.cn/live/xczs48/index.m3u8
中央人民广播电台藏语广播,http://ngcdn012.cnr.cn/live/zygb48/index.m3u8
中央人民广播电台维语广播,http://ngcdn013.cnr.cn/live/wygb48/index.m3u8
中央人民广播电台阅读之声,http://ngcdn014.cnr.cn/live/ylgb48/index.m3u8
中央人民广播电台中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb48/index.m3u8
中央人民广播电台哈语广播,http://ngcdn025.cnr.cn/live/hygb48/index.m3u8
CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8
CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI 海峡飞虹,http://sk.cri.cn/hxfh.m3u8
CRI 南海之声,http://sk.cri.cn/nhzs.m3u8
CRI 客家之声,http://sk.cri.cn/hakka.m3u8
CRI 闽南之音,http://sk.cri.cn/minnan.m3u8
CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
CRI Easy FM – FM91.5,http://sk.cri.cn/915.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI NEWS Plus AM1008,http://sk.cri.cn/am1008.m3u8

香港,#genre#
港台電視31,http://rthklive1-lh.akamaihd.net:80/i/rthk31_1@167495/index_5400_av-p.m3u8
港台電視32,http://rthklive2-lh.akamaihd.net:80/i/rthk32_1@168450/index_1080_av-p.m3u8
香港電台視像新聞直播,http://rthkcnews-lh.akamaihd.net:80/i/rthknews_1@312607/index_190000011_av-p.m3u8
香港電台普通話台,https://rthkaudio6-lh.akamaihd.net/i/radiopth_1@355869/index_56_a-p.m3u8
香港開電視,http://media.fantv.hk/m3u8/archive/channel2.m3u8
TVB翡翠,http://m.567it.com/jade.m3u8
TVB明珠,http://m.567it.com/Pearl.m3u8
TVB星河,http://192.154.103.75:8080/ZZ_xinghe/ZZ_xinghe.m3u8
無綫新聞台,http://www.liveviptv.xyz/tv/tvb.php?vid=wxxw
無綫財經·資訊台,http://www.liveviptv.xyz/tv/tvb.php?vid=wxzx
ViuTVsix,http://viutv96-i.akamaihd.net/hls/live/265285/live1/master.m3u8
ViuTV,http://viutv99-i.akamaihd.net:80/hls/live/265284/live1/master.m3u8
有線財經資訊台 HD,https://icable.cdn.utvhk.com/live/5bcdb730f6be41868ac15afffbb67152/3d27db5ab65942eda36b25374669990d-3.m3u8
有線財經資訊台 HD(備),https://ottproxy2.mott.tv/livehls/MOB-NGW/01.m3u8
有線新聞台 HD,https://icable.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-2.m3u8
有線新聞台 HDR,http://teslagram.com/cable_proxy.php?channel=1
有線新聞台 HD(備),https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
有線直播新聞台,http://teslagram.com/live/channel_110.m3u8
有線綜合娛樂台 HD,https://icable.cdn.utvhk.com/live/72ee37b54d524bcb806957577dfdfd72/fe371c746eb94b01b7fb0e70569a2e9f-3.m3u8
鳳凰衛視中文台,http://qlive.fengshows.cn/PCC.flv
鳳凰衛視資訊台,http://qlive.fengshows.cn/PIN.flv
鳳凰衛視香港台,http://qlive.fengshows.cn/PHK.flv
now直播台,http://teslagram.com/live/channel_331.m3u8
now新聞台,http://teslagram.com/live/channel_332.m3u8
now SPORTS PRIME,http://teslagram.com/live/channel_630.m3u8
亞視香港追撃搜,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_hi_1080p.m3u8
香港衛視,https://30e433a4967c6868ab183a88288bcd03.live.prod.hkatv.com/h1_cbr_lo_720p.m3u8
星空衛視,http://116.199.5.52:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=&Provider_id=&Fsv_chan_hls_se_idx=233
陽光衛視,https://stream.isuntv.com/680k/mid_video_index.m3u8
香港01直播1台,https://live.cdn.hk01.com/origin/smil:01news.smil/chunklist_b2096000.m3u8
香港01直播2台,https://live2.cdn.hk01.com/origin/smil:Sudden01.smil/chunklist_b1896000.m3u8
東網直播1台,https://stream-news2.on.cc/src/remote1_hd.smil/chunklist_b1596000.m3u8
東網直播2台,https://stream-news.on.cc/src/content/playlist720p.m3u8

澳門,#genre#
澳視澳門,http://live3.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳視葡文,http://live4.tdm.com.mo/ch2/_definst_//ch2.live/playlist.m3u8
澳門MACAU,http://live4.tdm.com.mo/ch3/_definst_//ch3.live/playlist.m3u8
澳門體育,http://live3.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門資訊,http://live4.tdm.com.mo/ch5/_difinst_/info_ch5.live/playlist.m3u8
澳門綜藝,http://live3.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
澳門立法會直播,http://live4.tdm.com.mo/tv/ch21.live/playlist.m3u8
澳亞衛視,http://61.58.60.230:9319/live/256.m3u8
蓮花衛視,http://220.158.149.14:9999/live/TV00000000000000000069@HHZT;LIVE
澳門有線 CH1,http://202.175.127.77/live/show/ch1/index.m3u8
