中国大陆,#genre#
NewTV-精品体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8
NewTV-潮妈辣婆,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225957/1.m3u8

直播中国,#genre#
全国风景总览,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
北京-南宫温泉休闲度假区,http://gccnchwc.v.cdn20.com/gc/tyhjntyz_1/index.m3u8?contentid=2820180516001
北京-水立方,http://gccnchwc.v.cdn20.com/gc/gccntv241-slf01_1/index.m3u8?contentid=2820180516001
北京-北京新发地农产品批发市场,http://gccnchwc.v.cdn20.com/gc/hnttbdjd_1/index.m3u8?contentid=2820180516001
北京-八达岭长城北十楼,http://gccnchwc.v.cdn20.com/gc/bgwn10_1/index.m3u8?contentid=2820180516001
北京-八达岭长城南七楼,http://gccnchwc.v.cdn20.com/gc/bgws7_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城04,http://gccnchwc.v.cdn20.com/gc/wgw04_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城03,http://gccnchwc.v.cdn20.com/gc/wgw03_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城02,http://gccnchwc.v.cdn20.com/gc/wgw02_1/index.m3u8?contentid=2820180516001
北京-黄花城水长城01,http://gccnchwc.v.cdn20.com/gc/wgw01_1/index.m3u8?contentid=2820180516001
北京-中央电视塔东,http://gccnchwc.v.cdn20.com/gc/ztd_1/index.m3u8?contentid=2820180516001
天津-天津之眼,http://gccnchwc.v.cdn20.com/gc/tjhh01_1/index.m3u8?contentid=2820180516001
天津-天津海河,http://gccnchwc.v.cdn20.com/gc/tjhh02_1/index.m3u8?contentid=2820180516001
山西-悬空寺全景,http://gccnchwc.v.cdn20.com/gc/hsxksqj_1/index.m3u8?contentid=2820180516001
黑龙江-雪乡观景台,http://gccnchwc.v.cdn20.com/gc/mdjxxmhjygjt_1/index.m3u8?contentid=2820180516001
